,source,author,title,description,url,urlToImage,publishedAt,content
37,"{'id': None, 'name': 'Cointelegraph'}",Brayden Lindrea,Préstamos privados basados en blockchain alcanzan los USD 582 millones,"La tasa de porcentaje anual promedio ofrecida por los protocolos de crédito basados en blockchain es del 9.65%, frente a un tipo de interés medio de los préstamos personales del 11.5%, según muestran los datos
 Los préstamos basados en blockchain están recupe…",https://es.cointelegraph.com/news/blockchain-based-private-loans-582m-doubling-from-last-year,"https://images.cointelegraph.com/cdn-cgi/image/format=auto,onerror=redirect,quality=90,width=1200/https://s3.cointelegraph.com/uploads/2023-12/50d4e36b-4121-4d10-9c33-ac2451185646.jpg",2023-12-18T04:30:00Z,"Los préstamos basados en blockchain están recuperando impulso este año, con un valor de 582 millones de dólares en créditos privados tokenizados activos, un asombroso aumento del 128% desde hace un a… [+3449 chars]"
38,"{'id': None, 'name': 'Cointelegraph'}",Cointelegraph by Brayden Lindrea,"Blockchain-based private loans hit $582M, doubling from last year","The average APR offered by blockchain credit protocols is 9.65% compared to an average personal loan interest rate of 11.5%, data shows.",https://cointelegraph.com/news/blockchain-based-private-loans-582m-doubling-from-last-year,"https://images.cointelegraph.com/cdn-cgi/image/format=auto,onerror=redirect,quality=90,width=1200/https://s3.cointelegraph.com/uploads/2023-12/50d4e36b-4121-4d10-9c33-ac2451185646.jpg",2023-12-18T01:53:00Z,"Blockchain-based lending is regaining momentum this year, with the value of active tokenized private credit now sitting at $582 million a staggering 128% increase from a year ago. 
While still far o… [+2296 chars]"
39,"{'id': None, 'name': 'Biztoc.com'}",news.bitcoin.com,"Tether Confirms Extensive Collaboration With DOJ, FBI and Secret Service","Tether, the stablecoin company, has confirmed it has collaborated extensively with a series of U.S government agencies, including the Department of Justice (DOJ), the Federal Bureau of Investigation (FBI), and the Secret Service. These team-ups are focused on…",https://biztoc.com/x/20fe14ff585d03a9,https://c.biztoc.com/p/20fe14ff585d03a9/s.webp,2023-12-18T01:44:06Z,"Tether, the stablecoin company, has confirmed it has collaborated extensively with a series of U.S government agencies, including the Department of Justice (DOJ), the Federal Bureau of Investigation … [+296 chars]"
40,"{'id': None, 'name': 'Biztoc.com'}",bitcoinist.com,Tether Teams Up With FBI And Secret Service In Crime-Busting Alliance,"Tether, the company that created the popular stablecoin USDT, has taken the initiative to publicly reveal letters it sent to the US House Financial Services Committee and the US Senate Committee on Banking, Housing, and Urban Affairs in an attempt to reaffirm…",https://biztoc.com/x/b011edf9f840950e,https://c.biztoc.com/p/b011edf9f840950e/s.webp,2023-12-17T16:40:06Z,"Tether, the company that created the popular stablecoin USDT, has taken the initiative to publicly reveal letters it sent to the US House Financial Services Committee and the US Senate Committee on B… [+286 chars]"
41,"{'id': None, 'name': 'Ambcrypto.com'}",Dipayan Mitra,Is BNB Chain’s new proposal good news for BNB?,BNB Chain submitted a new proposal on the Venus forum. Will this help BNB's chart finally see green?,https://ambcrypto.com/?p=359177,https://statics.ambcrypto.com/wp-content/uploads/2023/12/ambcrypto_A_BNB_Chain-themed_sce-1-1000x600.png,2023-12-17T16:30:01Z,"<ul><li>The proposal aimed to give BNB Chain the discretion to seize BNB Bridge exploiters collateral. </li><li>BNB Chains network activity remained high, but the coin was down 2% in the last 24 hour… [+2506 chars]"
42,"{'id': None, 'name': 'Biztoc.com'}",forbes.com,2024 Predictions For The Crypto Sector,"As the calendar rolls to 2024, the time of year for predictions and forecasts is upon the marketplace yet again. The tradition of forecasting and/or predicting financial markets is a well-worn one, and the frequency with which many market watchers are wrong i…",https://biztoc.com/x/fda2ca56c25c1f3b,https://c.biztoc.com/p/fda2ca56c25c1f3b/s.webp,2023-12-17T15:44:20Z,"As the calendar rolls to 2024, the time of year for predictions and forecasts is upon the marketplace yet again.The tradition of forecasting and/or predicting financial markets is a well-worn one, an… [+281 chars]"
43,"{'id': None, 'name': 'Forbes'}","Sean Stein Smith, Contributor, 
 Sean Stein Smith, Contributor
 https://www.forbes.com/sites/seansteinsmith/",2024 Predictions For The Crypto Sector,"As the calendar rolls to 2024, the time of year for predictions and forecasts is upon the marketplace yet again",https://www.forbes.com/sites/digital-assets/2023/12/17/2024-predictions-for-the-crypto-sector/,"https://imageio.forbes.com/specials-images/imageserve/61c0a43c170ebe018990eb99/0x0.jpg?format=jpg&crop=2182,1023,x0,y214,safe&height=900&width=1600&fit=bounds",2023-12-17T15:30:49Z,"The future is hard to predict, but positive trends continue to emerge
getty
As the calendar rolls to 2024, the time of year for predictions and forecasts is upon the marketplace yet again.
The tra… [+5294 chars]"
44,"{'id': None, 'name': 'Criptonoticias.com'}",Bárbara Distéfano,Tether: «Incorporamos al Servicio Secreto y al FBI en nuestra plataforma»,"La empresa emisora de la criptomoneda USDT explica a las autoridades las medidas que toman para evitar un «mal uso» de sus servicios.
Leer más",https://www.criptonoticias.com/regulacion/tether-usdt-servicio-secreto-fbi/,https://www.criptonoticias.com/wp-content/uploads/2023/12/fbi-policia-monitores-adobe.jpeg,2023-12-17T14:53:03Z,"Hechos clave:
<ul><li>Paolo Ardoino, CEO de Tether, envió una carta a la Cámara de Representantes de Estados Unidos.
</li><li>Existe una lista negra de direcciones bloqueadas que no pueden usar USD… [+2856 chars]"
45,"{'id': None, 'name': 'Biztoc.com'}",bitcoinist.com,Tether Teams Up With FBI And Secret Service In Crime-Busting Alliance,"Tether, the company that created the popular stablecoin USDT, has taken the initiative to publicly reveal letters it sent to the US House Financial Services Committee and the US Senate Committee on Banking, Housing, and Urban Affairs in an attempt to reaffirm…",https://biztoc.com/x/83850228da195bbb,https://c.biztoc.com/p/83850228da195bbb/s.webp,2023-12-17T14:38:09Z,"Tether, the company that created the popular stablecoin USDT, has taken the initiative to publicly reveal letters it sent to the US House Financial Services Committee and the US Senate Committee on B… [+290 chars]"
46,"{'id': None, 'name': 'Bitcoinist'}",Christian Encila,Tether Teams Up With FBI And Secret Service In Crime-Busting Alliance,"Tether, the company that created the popular stablecoin USDT, has taken the initiative to publicly reveal letters it sent to the US House Financial Services Committee and the US Senate Committee on Banking, Housing, and Urban Affairs in an attempt to reaffirm…",https://bitcoinist.com/tether-teams-up-with-fbi-and-secret-service/,https://bitcoinist.com/wp-content/uploads/2023/12/a-91.png,2023-12-17T14:30:20Z,"Tether, the company that created the popular stablecoin USDT, has taken the initiative to publicly reveal letters it sent to the US House Financial Services Committee and the US Senate Committee on B… [+3158 chars]"
